Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot.1,Off..1,PGA,And1,Blkd,Player Reference,Season,League
Andrew Wiggins,SF,24,MIN,42,1455,,8%,84%,8%,,-4.2,0.8,36,44,68,14,104,1.0,388,24,45,wiggian01,2019-2020,NBA
Andrew Wiggins,SF,24,GSW,12,403,,2%,77%,21%,,-10.0,-1.4,12,8,16,2,29,2.0,105,11,11,wiggian01,2019-2020,NBA
Grant Williams,PF,21,BOS,69,1043,,1%,38%,55%,6%,7.2,1.0,22,6,85,19,22,12.0,161,7,14,willigr01,2019-2020,NBA
Johnathan Williams,PF,24,WAS,15,180,,,,86%,14%,-10.4,-6.1,1,1,5,2,6,2.0,19,1,4,willijo04,2019-2020,NBA
Kenrich Williams,PF,25,NOP,39,832,,,42%,57%,1%,-1.4,-0.1,11,7,46,3,10,16.0,143,4,5,willike04,2019-2020,NBA
Lou Williams,PG,33,LAC,65,1864,100%,,,,,3.5,-6.6,129,32,17,8,135,20.0,854,26,50,willilo02,2019-2020,NBA
Marvin Williams,PF,33,TOT,58,1129,,,2%,77%,22%,-2.6,-0.1,17,4,38,10,16,6.0,149,6,8,willima02,2019-2020,NBA
Marvin Williams,PF,33,CHO,41,808,,,,72%,28%,-6.0,1.6,14,2,24,9,14,4.0,104,5,7,willima02,2019-2020,NBA
Marvin Williams,PF,33,MIL,17,321,,,6%,89%,6%,6.0,-4.4,3,2,14,1,2,2.0,45,1,1,willima02,2019-2020,NBA
Robert Williams,C,22,BOS,29,388,,,,2%,98%,5.1,-1.6,8,5,29,5,14,3.0,63,6,1,williro04,2019-2020,NBA
Nigel Williams-Goss,PG,25,UTA,10,50,69%,31%,,,,2.9,0.6,2,0,3,1,0,0.0,14,0,1,willini01,2019-2020,NBA
Zion Williamson,PF,19,NOP,24,668,,,,92%,8%,4.7,7.6,19,25,16,9,88,4.0,126,18,39,willizi01,2019-2020,NBA
D.J. Wilson,PF,23,MIL,37,363,,,1%,72%,27%,-4.7,-16.3,6,3,21,2,7,3.0,62,2,3,wilsodj01,2019-2020,NBA
Justise Winslow,SG,23,MIA,11,352,6%,28%,64%,2%,,7.5,5.1,16,4,15,2,10,3.0,104,1,4,winslju01,2019-2020,NBA
Christian Wood,PF,24,DET,62,1325,,,,79%,21%,2.2,10.9,24,30,49,15,105,13.0,144,30,31,woodch01,2019-2020,NBA
Delon Wright,PG,27,DAL,73,1570,60%,39%,1%,,,2.1,-4.9,41,25,45,2,41,7.0,636,10,30,wrighde01,2019-2020,NBA
Justin Wright-Foreman,PG,22,UTA,4,45,100%,,,,,-27.9,-30.6,3,0,4,0,2,0.0,16,0,1,wrighju02,2019-2020,NBA
Thaddeus Young,PF,31,CHI,64,1591,,,2%,96%,3%,-6.2,-5.8,50,22,69,18,28,26.0,279,6,44,youngth01,2019-2020,NBA
Trae Young,PG,21,ATL,60,2120,100%,,,,,-5.5,7.4,186,68,43,15,203,29.0,1292,36,80,youngtr01,2019-2020,NBA
Cody Zeller,C,27,CHO,58,1341,,,,,100%,-9.4,-3.9,24,20,62,22,90,8.0,211,26,44,zelleco01,2019-2020,NBA
Tyler Zeller,C,30,SAS,2,4,,,,,100%,33.3,34.5,0,0,0,0,0,0.0,0,0,0,zellety01,2019-2020,NBA
Ante Žižić,C,23,CLE,22,221,,,,,100%,1.5,10.3,1,5,13,3,8,0.0,14,5,5,zizican01,2019-2020,NBA
Ivica Zubac,C,22,LAC,72,1326,,,,,100%,9.2,4.4,18,13,113,20,75,1.0,196,11,28,zubaciv01,2019-2020,NBA
Álex Abrines,SG,25,OKC,31,588,,63%,37%,,,1.8,-1.5,4,6,33,2,4,10.0,52,0,6,abrinal01,2018-2019,NBA
Quincy Acy,PF,28,PHO,10,123,,,,33%,67%,2.7,12.1,1,1,12,1,2,6.0,21,0,0,acyqu01,2018-2019,NBA
Jaylen Adams,PG,22,ATL,34,428,97%,3%,,,,-5.3,0.6,19,7,24,2,3,3.0,164,1,7,adamsja01,2018-2019,NBA
Steven Adams,C,25,OKC,80,2669,,,,,100%,6.1,9.5,44,41,73,31,110,13.0,297,20,50,adamsst01,2018-2019,NBA
Bam Adebayo,C,21,MIA,82,1913,,,,1%,99%,0.7,1.6,35,35,91,33,98,8.0,458,30,31,adebaba01,2018-2019,NBA
Deng Adel,SF,21,CLE,19,194,,5%,47%,47%,,-8.8,1.4,2,3,9,0,2,4.0,12,0,1,adelde01,2018-2019,NBA
DeVaughn Akoon-Purcell,SG,25,DEN,7,22,,73%,27%,,,7.2,3.5,0,1,1,1,1,0.0,14,0,1,akoonde01,2018-2019,NBA
LaMarcus Aldridge,C,33,SAS,81,2687,,,,5%,95%,1.6,-1.8,28,55,102,39,183,5.0,459,49,45,aldrila01,2018-2019,NBA
Rawle Alkins,SG,21,CHI,10,120,,11%,85%,4%,,-6.1,2.5,1,4,5,0,6,0.0,31,2,4,alkinra01,2018-2019,NBA
Grayson Allen,SG,23,UTA,38,416,38%,57%,5%,,,-11.9,-19.3,12,5,25,5,20,4.0,58,3,6,allengr01,2018-2019,NBA
Jarrett Allen,C,20,BRK,80,2096,,,,,100%,-2.7,-5.3,38,26,112,26,125,11.0,283,22,48,allenja01,2018-2019,NBA
Kadeem Allen,PG,26,NYK,19,416,71%,29%,1%,,,-4.3,5.5,13,6,24,3,22,7.0,187,1,6,allenka01,2018-2019,NBA
Al-Farouq Aminu,PF,28,POR,81,2292,,,,99%,1%,8.1,10.0,29,15,58,14,72,15.0,243,13,29,aminual01,2018-2019,NBA
Justin Anderson,SF,25,ATL,48,463,,5%,46%,48%,1%,-5.6,0.3,9,6,23,4,17,4.0,57,4,9,anderju01,2018-2019,NBA
Kyle Anderson,SF,25,MEM,43,1281,,,74%,25%,1%,-2.5,0.1,28,11,37,9,31,8.0,295,9,14,anderky01,2018-2019,NBA
