Player Name,Player Reference,Game Reference,Team,Period,Starter,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Pat McFarland,mcfarpa01,197510290INA,SDS,game,True,46:00,9,21,.429,0,0,,2,2,1.000,,,4,2,,,,1,20,
Bo Lamar,lamarbo01,197510290INA,SDS,game,True,46:00,9,20,.450,0,1,.000,0,0,,,,1,8,,,,1,18,
Mark Olberding,olberma01,197510290INA,SDS,game,True,44:00,5,13,.385,0,0,,1,2,.500,,,17,1,,,,5,11,
Caldwell Jones,jonesca01,197510290INA,SDS,game,True,43:00,11,24,.458,0,0,,3,4,.750,,,13,4,,,,4,25,
Joby Wright,wrighjo01,197510290INA,SDS,game,False,7:00,1,1,1.000,0,0,,0,2,.000,,,2,0,,,,1,2,
Stew Johnson,johnsst01,197510290INA,SDS,game,False,4:00,0,2,.000,0,0,,0,0,,,,1,0,,,,1,0,
Kevin Joyce,joyceke01,197510290INA,SDS,game,False,4:00,0,3,.000,0,0,,0,0,,,,0,1,,,,0,0,
Bill Keller,kellebi01,197510290INA,INA,game,True,44:00,11,19,.579,3,5,.600,0,0,,,,4,5,,,,2,25,
Len Elmore,elmorle01,197510290INA,INA,game,True,44:00,4,15,.267,0,0,,0,0,,,,14,3,,,,2,8,
Darnell Hillman,hillmda01,197510290INA,INA,game,True,43:00,8,18,.444,0,0,,4,6,.667,,,14,2,,,,4,20,
Don Buse,busedo01,197510290INA,INA,game,True,40:00,7,13,.538,2,3,.667,1,1,1.000,,,6,8,,,,1,17,
Billy Knight,knighbi01,197510290INA,INA,game,True,39:00,7,15,.467,0,0,,11,11,1.000,,,11,3,,,,5,25,
Mike Flynn,flynnmi01,197510290INA,INA,game,False,12:00,1,2,.500,0,0,,0,0,,,,1,1,,,,0,2,
Charles Jordan,jordach01,197510290INA,INA,game,False,8:00,2,3,.667,0,0,,0,0,,,,0,1,,,,2,4,
Dan Roundfield,roundda01,197510290INA,INA,game,False,6:00,1,2,.500,0,0,,0,0,,,,3,2,,,,0,2,
Bob Netolicky,netolbo01,197510290INA,INA,game,False,4:00,1,2,.500,0,0,,0,0,,,,0,0,,,,0,2,
Don Adams,adamsdo01,197510290VIR,SSL,game,True,50:00,8,16,.500,0,0,,1,2,.500,,,9,7,,,,,17,
