Player Name,Player Reference,Starter,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM,Game Reference,Team,Period
Trevelin Queen,queentr01,False,17:05,.543,.500,.500,.167,0.0,22.0,11.7,9.2,0.0,14.5,23.7,21.6,86,107,0.9,202401130OKC,ORL,game
Jonathan Isaac,isaacjo01,False,15:06,.664,.000,.000,8.000,14.1,18.7,16.6,8.2,0.0,0.0,0.0,13.1,161,118,0.6,202401130OKC,ORL,game
Wendell Carter Jr.,cartewe01,False,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,202401130OKC,ORL,game
Admiral Schofield,schofad01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130OKC,ORL,game
Shai Gilgeous-Alexander,gilgesh01,True,35:57,.732,.650,.200,.600,5.2,11.9,8.3,36.4,4.1,2.7,0.0,30.3,161,98,24.8,202401130OKC,OKC,game
Jalen Williams,willija06,True,32:59,.487,.469,.188,.063,5.7,12.9,9.1,8.9,0.0,0.0,10.8,24.1,97,109,-4.7,202401130OKC,OKC,game
Luguentz Dort,dortlu01,True,32:28,.676,.625,.625,.250,2.9,6.6,4.6,8.0,1.5,3.0,10.1,13.1,130,105,1.7,202401130OKC,OKC,game
Chet Holmgren,holmgch01,True,31:33,.536,.536,.357,.000,6.0,20.3,12.7,14.1,1.6,6.2,12.5,21.9,105,100,4.0,202401130OKC,OKC,game
Josh Giddey,giddejo01,True,27:27,.436,.375,.417,.333,3.4,27.2,14.6,19.4,1.8,0.0,0.0,21.6,108,101,2.5,202401130OKC,OKC,game
Cason Wallace,wallaca01,False,19:45,.085,.000,.800,.400,9.5,5.4,7.6,0.0,0.0,0.0,0.0,12.8,47,110,-16.9,202401130OKC,OKC,game
Kenrich Williams,willike04,False,16:27,.750,.750,1.000,.000,0.0,32.4,15.2,14.6,0.0,0.0,0.0,5.2,166,103,3.2,202401130OKC,OKC,game
Isaiah Joe,joeis01,False,16:19,.563,.563,.500,.000,0.0,13.1,6.1,9.4,0.0,0.0,11.1,23.8,101,108,-2.7,202401130OKC,OKC,game
Vasilije Micić,micicva01,False,11:16,.700,.700,.400,.000,0.0,18.9,8.9,14.1,4.4,0.0,16.7,23.0,113,97,6.4,202401130OKC,OKC,game
Ousmane Dieng,diengou01,False,8:31,.000,.000,1.000,.000,11.1,12.5,11.7,0.0,0.0,0.0,33.3,15.2,26,109,-18.7,202401130OKC,OKC,game
Aaron Wiggins,wiggiaa01,False,7:15,.000,.000,.000,.000,13.0,0.0,6.9,15.4,13.6,0.0,0.0,11.9,61,79,-3.7,202401130OKC,OKC,game
Dāvis Bertāns,bertada01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130OKC,OKC,game
Keyontae Johnson,johnske08,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130OKC,OKC,game
Tre Mann,manntr01,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130OKC,OKC,game
Jaylin Williams,willija07,False,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,202401130OKC,OKC,game
Brandin Podziemski,podzibr01,True,35:44,.796,.821,.357,.071,2.8,28.1,14.8,12.0,2.8,0.0,0.0,17.4,164,125,8.8,202401130MIL,GSW,game
Klay Thompson,thompkl01,True,35:32,.448,.435,.739,.043,5.6,3.1,4.5,10.8,0.0,0.0,7.9,30.9,97,138,-8.4,202401130MIL,GSW,game
Dario Šarić,saricda01,True,34:04,.607,.611,.556,.222,0.0,19.7,9.3,21.2,1.4,0.0,23.3,16.3,109,130,-1.8,202401130MIL,GSW,game
Andrew Wiggins,wiggian01,True,32:29,.269,.269,.231,.000,9.2,3.4,6.5,3.5,0.0,0.0,0.0,17.3,80,138,-15.8,202401130MIL,GSW,game
Kevon Looney,looneke01,True,18:26,.500,.500,.000,.000,21.7,12.1,17.2,19.9,0.0,4.1,0.0,14.1,145,133,0.9,202401130MIL,GSW,game
